route_id,route_name,source,destination,distance,duration,stops
R1,Main Campus Route,Gate A,Admin Block,2.5,10,"Stop1,Stop2,Stop3"
R2,North Campus Route,Gate B,Library,3.2,15,"Stop4,Stop5,Stop6"
R3,South Campus Route,Gate C,Sports Complex,1.8,8,"Stop7,Stop8,Stop9"
R4,East Campus Route,Gate D,Hostel,2.0,12,"Stop10,Stop11,Stop12"
R5,West Campus Route,Gate E,Academic Block,2.7,14,"Stop13,Stop14,Stop15"
R6,Campus Ring Route,Gate A,Library,3.5,18,"Stop16,Stop17,Stop18"
R7,Express Route,Gate C,Admin Block,2.1,9,"Stop19,Stop20"
R8,Night Route,Gate D,Library,2.8,13,"Stop21,Stop22,Stop23"
R9,Weekend Route,Gate B,Sports Complex,3.0,16,"Stop24,Stop25,Stop26"
R10,Short Route,Gate E,Hostel,1.2,5,"Stop27,Stop28"
R11,Long Route,Gate A,Sports Complex,4.2,22,"Stop29,Stop30,Stop31,Stop32"
R12,Direct Route,Gate C,Library,2.3,11,"Stop33,Stop34"
R13,Scenic Route,Gate B,Academic Block,3.8,20,"Stop35,Stop36,Stop37"
R14,Economy Route,Gate D,Admin Block,1.9,8,"Stop38,Stop39,Stop40"
R15,Premium Route,Gate E,Library,2.6,12,"Stop41,Stop42,Stop43"
R16,Morning Route,Gate A,Hostel,2.2,10,"Stop44,Stop45,Stop46"
R17,Evening Route,Gate B,Admin Block,2.9,14,"Stop47,Stop48,Stop49"
R18,College Route,Gate C,Academic Block,1.5,7,"Stop50,Stop51"
R19,University Route,Gate D,Sports Complex,2.4,11,"Stop52,Stop53,Stop54"
R20,Metro Route,Gate E,Admin Block,3.1,17,"Stop55,Stop56,Stop57"
R21,City Route,Gate A,Academic Block,3.6,19,"Stop58,Stop59,Stop60"
R22,Local Route,Gate B,Hostel,1.6,6,"Stop61,Stop62,Stop63"
R23,Intercity Route,Gate C,Admin Block,4.0,25,"Stop64,Stop65,Stop66,Stop67"
R24,Shuttle Route,Gate D,Academic Block,2.0,9,"Stop68,Stop69,Stop70"
R25,Special Route,Gate E,Sports Complex,2.2,10,"Stop71,Stop72,Stop73"
R26,Garden Route,Gate A,Library,2.8,14,"Stop74,Stop75,Stop76"
R27,Park Route,Gate B,Admin Block,3.3,17,"Stop77,Stop78,Stop79"
R28,Lake Route,Gate C,Hostel,2.6,13,"Stop80,Stop81,Stop82"
R29,Hill Route,Gate D,Library,3.7,21,"Stop83,Stop84,Stop85,Stop86"
R30,Beach Route,Gate E,Admin Block,4.1,23,"Stop87,Stop88,Stop89,Stop90"
R31,Temple Route,Gate A,Sports Complex,3.9,20,"Stop91,Stop92,Stop93"
R32,Mosque Route,Gate B,Library,2.4,12,"Stop94,Stop95,Stop96"
R33,Church Route,Gate C,Admin Block,3.0,15,"Stop97,Stop98,Stop99"
R34,School Route,Gate D,Academic Block,1.7,8,"Stop100,Stop101"
R35,Hospital Route,Gate E,Hostel,2.1,10,"Stop102,Stop103,Stop104"
R36,Market Route,Gate A,Library,2.9,15,"Stop105,Stop106,Stop107"
R37,Mall Route,Gate B,Sports Complex,3.4,18,"Stop108,Stop109,Stop110"
R38,Theatre Route,Gate C,Admin Block,2.2,11,"Stop111,Stop112,Stop113"
R39,Stadium Route,Gate D,Library,3.6,19,"Stop114,Stop115,Stop116"
R40,Museum Route,Gate E,Academic Block,2.3,12,"Stop117,Stop118,Stop119"
R41,Zoo Route,Gate A,Hostel,4.3,24,"Stop120,Stop121,Stop122,Stop123"
R42,Aquarium Route,Gate B,Admin Block,3.1,16,"Stop124,Stop125,Stop126"
R43,Planetarium Route,Gate C,Library,2.7,14,"Stop127,Stop128,Stop129"
R44,Science Route,Gate D,Sports Complex,3.3,17,"Stop130,Stop131,Stop132"
R45,Arts Route,Gate E,Admin Block,2.5,13,"Stop133,Stop134,Stop135"
R46,Music Route,Gate A,Academic Block,2.8,14,"Stop136,Stop137,Stop138"
R47,Dance Route,Gate B,Hostel,1.9,9,"Stop139,Stop140,Stop141"
R48,Drama Route,Gate C,Library,2.6,13,"Stop142,Stop143,Stop144"
R49,Film Route,Gate D,Admin Block,3.2,16,"Stop145,Stop146,Stop147"
R50,Photography Route,Gate E,Sports Complex,2.4,12,"Stop148,Stop149,Stop150"
R51,Cycling Route,Gate A,Library,3.8,20,"Stop151,Stop152,Stop153"
R52,Running Route,Gate B,Admin Block,4.0,21,"Stop154,Stop155,Stop156"
R53,Swimming Route,Gate C,Hostel,2.2,11,"Stop157,Stop158,Stop159"
R54,Tennis Route,Gate D,Library,2.9,15,"Stop160,Stop161,Stop162"
R55,Cricket Route,Gate E,Admin Block,3.5,18,"Stop163,Stop164,Stop165"
R56,Football Route,Gate A,Sports Complex,3.7,19,"Stop166,Stop167,Stop168"
R57,Basketball Route,Gate B,Academic Block,2.1,10,"Stop169,Stop170,Stop171"
R58,Volleyball Route,Gate C,Hostel,1.8,8,"Stop172,Stop173,Stop174"
R59,TableTennis Route,Gate D,Library,2.3,11,"Stop175,Stop176,Stop177"
R60,Badminton Route,Gate E,Admin Block,2.7,14,"Stop178,Stop179,Stop180"
R61,Yoga Route,Gate A,Library,3.0,15,"Stop181,Stop182,Stop183"
R62,Meditation Route,Gate B,Sports Complex,2.6,13,"Stop184,Stop185,Stop186"
R63,Gym Route,Gate C,Admin Block,2.4,12,"Stop187,Stop188,Stop189"
R64,Spa Route,Gate D,Academic Block,3.2,16,"Stop190,Stop191,Stop192"
R65,Salon Route,Gate E,Hostel,1.6,7,"Stop193,Stop194,Stop195"
R66,Restaurant Route,Gate A,Library,2.5,12,"Stop196,Stop197,Stop198"
R67,Cafe Route,Gate B,Admin Block,2.8,14,"Stop199,Stop200,Stop201"
R68,Bakery Route,Gate C,Sports Complex,1.9,9,"Stop202,Stop203,Stop204"
R69,IceCream Route,Gate D,Library,2.2,10,"Stop205,Stop206,Stop207"
R70,Pizza Route,Gate E,Admin Block,2.6,13,"Stop208,Stop209,Stop210"
R71,Burger Route,Gate A,Hostel,1.7,8,"Stop211,Stop212,Stop213"
R72,Chinese Route,Gate B,Academic Block,2.9,15,"Stop214,Stop215,Stop216"
R73,Italian Route,Gate C,Library,3.1,16,"Stop217,Stop218,Stop219"
R74,French Route,Gate D,Sports Complex,2.4,12,"Stop220,Stop221,Stop222"
R75,Spanish Route,Gate E,Admin Block,2.8,14,"Stop223,Stop224,Stop225"
R76,German Route,Gate A,Academic Block,3.3,17,"Stop226,Stop227,Stop228"
R77,Russian Route,Gate B,Hostel,2.1,10,"Stop229,Stop230,Stop231"
R78,Japanese Route,Gate C,Library,2.7,14,"Stop232,Stop233,Stop234"
R79,Korean Route,Gate D,Admin Block,3.0,15,"Stop235,Stop236,Stop237"
R80,Arabic Route,Gate E,Sports Complex,2.3,11,"Stop238,Stop239,Stop240"
R81,Hindi Route,Gate A,Library,2.6,13,"Stop241,Stop242,Stop243"
R82,Telugu Route,Gate B,Admin Block,2.9,15,"Stop244,Stop245,Stop246"
R83,Tamil Route,Gate C,Academic Block,2.2,11,"Stop247,Stop248,Stop249"
R84,Kannada Route,Gate D,Hostel,1.8,8,"Stop250,Stop251,Stop252"
R85,Malayalam Route,Gate E,Library,2.5,12,"Stop253,Stop254,Stop255"
R86,Marathi Route,Gate A,Sports Complex,3.2,16,"Stop256,Stop257,Stop258"
R87,Gujarati Route,Gate B,Admin Block,2.7,14,"Stop259,Stop260,Stop261"
R88,Punjabi Route,Gate C,Academic Block,2.4,12,"Stop262,Stop263,Stop264"
R89,Bengali Route,Gate D,Library,2.9,15,"Stop265,Stop266,Stop267"
R90,Odia Route,Gate E,Hostel,1.9,9,"Stop268,Stop269,Stop270"
R91,Assamese Route,Gate A,Admin Block,3.1,16,"Stop271,Stop272,Stop273"
R92,Kashmiri Route,Gate B,Sports Complex,3.4,18,"Stop274,Stop275,Stop276"
R93,Sindhi Route,Gate C,Library,2.3,11,"Stop277,Stop278,Stop279"
R94,Urdu Route,Gate D,Academic Block,2.6,13,"Stop280,Stop281,Stop282"
R95,Nepali Route,Gate E,Admin Block,2.8,14,"Stop283,Stop284,Stop285"
R96,Bhutanese Route,Gate A,Hostel,3.0,15,"Stop286,Stop287,Stop288"
R97,SriLankan Route,Gate B,Library,2.2,11,"Stop289,Stop290,Stop291"
R98,Maldives Route,Gate C,Sports Complex,2.5,12,"Stop292,Stop293,Stop294"
R99,Singapore Route,Gate D,Admin Block,3.3,17,"Stop295,Stop296,Stop297"
R100,Malaysian Route,Gate E,Academic Block,2.7,14,"Stop298,Stop299,Stop300"
